date;Hours;Up;Down
28-01-2019;19 - 20;152,7;0
28-01-2019;20 - 21;0;0
28-01-2019;21 - 22;72,2;0
28-01-2019;22 - 23;148,1;0
28-01-2019;23 - 00;168,1;0
29-01-2019;00 - 01;197,5;0
29-01-2019;01 - 02;206;0
29-01-2019;02 - 03;216,3;0
29-01-2019;03 - 04;207,8;0
29-01-2019;04 - 05;188,2;0
29-01-2019;05 - 06;186,2;0
29-01-2019;06 - 07;89,3;0
29-01-2019;07 - 08;0;0
29-01-2019;08 - 09;0;0
29-01-2019;09 - 10;0;0
29-01-2019;10 - 11;0;0
29-01-2019;11 - 12;0;0
29-01-2019;12 - 13;0;0
29-01-2019;13 - 14;0;0
29-01-2019;14 - 15;0;284,4
29-01-2019;15 - 16;0;160,4
29-01-2019;16 - 17;0,3;0
29-01-2019;17 - 18;0;0
29-01-2019;18 - 19;0;135,5
29-01-2019;19 - 20;0;506,3
29-01-2019;20 - 21;0;382,8
29-01-2019;21 - 22;0;0
29-01-2019;22 - 23;197,2;0
29-01-2019;23 - 00;247,5;0
30-01-2019;00 - 01;231,1;0
30-01-2019;01 - 02;212,6;0
30-01-2019;02 - 03;221,2;0
30-01-2019;03 - 04;214,9;0
30-01-2019;04 - 05;208,2;0
30-01-2019;05 - 06;177,8;0
30-01-2019;06 - 07;0;0
30-01-2019;07 - 08;0;0
30-01-2019;08 - 09;0;0
30-01-2019;09 - 10;0;292,3
30-01-2019;10 - 11;0;0
30-01-2019;11 - 12;131,8;0
30-01-2019;12 - 13;107,5;0
30-01-2019;13 - 14;160,8;0
30-01-2019;14 - 15;117,3;0
30-01-2019;15 - 16;142,7;0
30-01-2019;16 - 17;0;0
30-01-2019;17 - 18;0;438,1
30-01-2019;18 - 19;0;557,1
30-01-2019;19 - 20;0;358,1
30-01-2019;20 - 21;0;0
30-01-2019;21 - 22;174,9;0
30-01-2019;22 - 23;159,1;0
30-01-2019;23 - 00;0;0
31-01-2019;00 - 01;208,6;0
31-01-2019;01 - 02;145,6;0
31-01-2019;02 - 03;0;0
31-01-2019;03 - 04;0;0
31-01-2019;04 - 05;44,3;0
31-01-2019;05 - 06;0;0
31-01-2019;06 - 07;0;486,1
31-01-2019;07 - 08;0;242,2
31-01-2019;08 - 09;0;0
31-01-2019;09 - 10;0;0
31-01-2019;10 - 11;0;0
31-01-2019;11 - 12;0;0
31-01-2019;12 - 13;0;0
31-01-2019;13 - 14;0;0
31-01-2019;14 - 15;0;0
31-01-2019;15 - 16;0;0
31-01-2019;16 - 17;0;138,7
31-01-2019;17 - 18;0;219,7
31-01-2019;18 - 19;0;140,7
31-01-2019;19 - 20;0;85,7
31-01-2019;20 - 21;0;75,1
31-01-2019;21 - 22;230,1;0
31-01-2019;22 - 23;218,1;0
31-01-2019;23 - 00;188,9;0
01-02-2019;00 - 01;0;0
01-02-2019;01 - 02;0;0
01-02-2019;02 - 03;0;0
01-02-2019;03 - 04;0;0
01-02-2019;04 - 05;0;0
01-02-2019;05 - 06;0;0
01-02-2019;06 - 07;0;0
01-02-2019;07 - 08;0;0
01-02-2019;08 - 09;0;138
01-02-2019;09 - 10;0;347,3
01-02-2019;10 - 11;0;71,6
01-02-2019;11 - 12;0;0
01-02-2019;12 - 13;0;0
01-02-2019;13 - 14;0;443,8
01-02-2019;14 - 15;0;427,4
01-02-2019;15 - 16;0;132,2
01-02-2019;16 - 17;0;0
01-02-2019;17 - 18;0;0
01-02-2019;18 - 19;0;0
01-02-2019;19 - 20;0;0
01-02-2019;20 - 21;0;0
01-02-2019;21 - 22;0;0
01-02-2019;22 - 23;0;0
01-02-2019;23 - 00;0;0
02-02-2019;00 - 01;0;0
02-02-2019;01 - 02;0;0
02-02-2019;02 - 03;0;0
02-02-2019;03 - 04;0;0
02-02-2019;04 - 05;0;0
02-02-2019;05 - 06;0;0
02-02-2019;06 - 07;0;0
02-02-2019;07 - 08;0;0
