date;Hours;Up;Down
23-01-2017;08 - 09;0;0
23-01-2017;09 - 10;0;0
23-01-2017;10 - 11;0;0
23-01-2017;11 - 12;0;0
23-01-2017;12 - 13;0;0
23-01-2017;13 - 14;0;0
23-01-2017;14 - 15;0;0
23-01-2017;15 - 16;0;0
23-01-2017;16 - 17;0;0
23-01-2017;17 - 18;0;6,8
23-01-2017;18 - 19;0;0
23-01-2017;19 - 20;0;0
23-01-2017;20 - 21;0;0
23-01-2017;21 - 22;0;0
23-01-2017;22 - 23;0;0
23-01-2017;23 - 00;0;0
24-01-2017;00 - 01;0;0
24-01-2017;01 - 02;0;0
24-01-2017;02 - 03;0;0
24-01-2017;03 - 04;0;0
24-01-2017;04 - 05;0;0
24-01-2017;05 - 06;0;0
24-01-2017;06 - 07;0;0
24-01-2017;07 - 08;0;0
24-01-2017;08 - 09;0;0
24-01-2017;09 - 10;0;0
24-01-2017;10 - 11;0;0
24-01-2017;11 - 12;0;0
24-01-2017;12 - 13;0;0
24-01-2017;13 - 14;0;0
24-01-2017;14 - 15;0;0
24-01-2017;15 - 16;0;0
24-01-2017;16 - 17;0;0
24-01-2017;17 - 18;0;0
24-01-2017;18 - 19;0;0
24-01-2017;19 - 20;0;0
24-01-2017;20 - 21;0;0
24-01-2017;21 - 22;0;0
24-01-2017;22 - 23;0;0
24-01-2017;23 - 00;0;0
25-01-2017;00 - 01;0;0
25-01-2017;01 - 02;0;0
25-01-2017;02 - 03;0;0
25-01-2017;03 - 04;0;0
25-01-2017;04 - 05;0;0
25-01-2017;05 - 06;0;0
25-01-2017;06 - 07;0;0
25-01-2017;07 - 08;0;0
25-01-2017;08 - 09;0;0
25-01-2017;09 - 10;0;0
25-01-2017;10 - 11;0;0
25-01-2017;11 - 12;0;0
25-01-2017;12 - 13;0;0
25-01-2017;13 - 14;0;0
25-01-2017;14 - 15;0;0
25-01-2017;15 - 16;0;0
25-01-2017;16 - 17;0;0
25-01-2017;17 - 18;0;0
25-01-2017;18 - 19;0;0
25-01-2017;19 - 20;0;0
25-01-2017;20 - 21;0;0
25-01-2017;21 - 22;0;0
25-01-2017;22 - 23;0;0
25-01-2017;23 - 00;0;0
26-01-2017;00 - 01;0;0
26-01-2017;01 - 02;0;0
26-01-2017;02 - 03;0;0
26-01-2017;03 - 04;0;0
26-01-2017;04 - 05;0;0
26-01-2017;05 - 06;0;0
26-01-2017;06 - 07;0;0
26-01-2017;07 - 08;0;0
26-01-2017;08 - 09;0;0
26-01-2017;09 - 10;0;0
26-01-2017;10 - 11;0;0
26-01-2017;11 - 12;0;0
26-01-2017;12 - 13;0;0
26-01-2017;13 - 14;0;0
26-01-2017;14 - 15;0;0
26-01-2017;15 - 16;0;0
26-01-2017;16 - 17;0;0
26-01-2017;17 - 18;0;0
26-01-2017;18 - 19;0;0
26-01-2017;19 - 20;0;0
26-01-2017;20 - 21;0;0
26-01-2017;21 - 22;0;0
26-01-2017;22 - 23;0;0
26-01-2017;23 - 00;0;0
27-01-2017;00 - 01;0;0
27-01-2017;01 - 02;0;0
27-01-2017;02 - 03;0;0
27-01-2017;03 - 04;0;0
27-01-2017;04 - 05;0;0
27-01-2017;05 - 06;0;0
27-01-2017;06 - 07;0;0
27-01-2017;07 - 08;0;0
27-01-2017;08 - 09;0;0
27-01-2017;09 - 10;0;139,3
27-01-2017;10 - 11;0;220,7
27-01-2017;11 - 12;0;285,5
27-01-2017;12 - 13;0;294,4
27-01-2017;13 - 14;0;281,2
27-01-2017;14 - 15;0;293,8
27-01-2017;15 - 16;0;217,3
27-01-2017;16 - 17;0;46,8
27-01-2017;17 - 18;0;0
27-01-2017;18 - 19;0;0
27-01-2017;19 - 20;0;0
27-01-2017;20 - 21;0;0
27-01-2017;21 - 22;0;0
27-01-2017;22 - 23;0;0
27-01-2017;23 - 00;0;0
28-01-2017;00 - 01;0;0
28-01-2017;01 - 02;0;0
28-01-2017;02 - 03;0;0
28-01-2017;03 - 04;0;0
28-01-2017;04 - 05;0;0
28-01-2017;05 - 06;0;0
28-01-2017;06 - 07;0;0
28-01-2017;07 - 08;0;0
28-01-2017;08 - 09;0;0
28-01-2017;09 - 10;0;0
28-01-2017;10 - 11;0;0
28-01-2017;11 - 12;0;0
28-01-2017;12 - 13;0;0
28-01-2017;13 - 14;0;0
28-01-2017;14 - 15;0;0
28-01-2017;15 - 16;0;0
28-01-2017;16 - 17;0;0
28-01-2017;17 - 18;0;0
28-01-2017;18 - 19;0;0
28-01-2017;19 - 20;0;0
28-01-2017;20 - 21;0;0
28-01-2017;21 - 22;0;0
28-01-2017;22 - 23;0;0
28-01-2017;23 - 00;0;0
29-01-2017;00 - 01;0;0
29-01-2017;01 - 02;0;0
29-01-2017;02 - 03;0;0
29-01-2017;03 - 04;0;0
29-01-2017;04 - 05;0;0
29-01-2017;05 - 06;0;0
29-01-2017;06 - 07;0;0
29-01-2017;07 - 08;0;0
29-01-2017;08 - 09;0;0
29-01-2017;09 - 10;0;0
29-01-2017;10 - 11;0;0
29-01-2017;11 - 12;0;0
29-01-2017;12 - 13;0;0
29-01-2017;13 - 14;0;0
29-01-2017;14 - 15;0;0
29-01-2017;15 - 16;0;0
29-01-2017;16 - 17;0;0
29-01-2017;17 - 18;0;0
29-01-2017;18 - 19;0;0
29-01-2017;19 - 20;0;0
29-01-2017;20 - 21;0;0
29-01-2017;21 - 22;0;0
29-01-2017;22 - 23;0;0
29-01-2017;23 - 00;0;0
30-01-2017;00 - 01;0;0
30-01-2017;01 - 02;0;0
30-01-2017;02 - 03;0;0
30-01-2017;03 - 04;0;0
30-01-2017;04 - 05;0;0
30-01-2017;05 - 06;0;0
30-01-2017;06 - 07;0;0
30-01-2017;07 - 08;0;0
30-01-2017;08 - 09;0;0
30-01-2017;09 - 10;176,9;0
30-01-2017;10 - 11;0;0
30-01-2017;11 - 12;0;0
30-01-2017;12 - 13;0;0
30-01-2017;13 - 14;175,8;0
30-01-2017;14 - 15;145,3;0
30-01-2017;15 - 16;143,5;0
30-01-2017;16 - 17;3,3;153,3
30-01-2017;17 - 18;0;154,9
30-01-2017;18 - 19;0;220,8
30-01-2017;19 - 20;0;283,3
30-01-2017;20 - 21;0;294,8
30-01-2017;21 - 22;0;296,5
30-01-2017;22 - 23;0;299,8
30-01-2017;23 - 00;0;294,8
31-01-2017;00 - 01;0;131,2
31-01-2017;01 - 02;0;200,2
31-01-2017;02 - 03;0;207,5
31-01-2017;03 - 04;0;259
31-01-2017;04 - 05;0;0
31-01-2017;05 - 06;0;0
31-01-2017;06 - 07;0;258,2
31-01-2017;07 - 08;0;0
31-01-2017;08 - 09;0;0
31-01-2017;09 - 10;0;0
31-01-2017;10 - 11;0;0
31-01-2017;11 - 12;0;0
31-01-2017;12 - 13;0;0
31-01-2017;13 - 14;0;0
31-01-2017;14 - 15;0;0
31-01-2017;15 - 16;0;0
31-01-2017;16 - 17;0;0
31-01-2017;17 - 18;0;0
31-01-2017;18 - 19;0;0
31-01-2017;19 - 20;0;0
31-01-2017;20 - 21;0;0
31-01-2017;21 - 22;0;0
31-01-2017;22 - 23;0;0
31-01-2017;23 - 00;0;0
01-02-2017;00 - 01;0;0
01-02-2017;01 - 02;0;0
01-02-2017;02 - 03;0;0
01-02-2017;03 - 04;0;0
01-02-2017;04 - 05;0;0
01-02-2017;05 - 06;0;0
01-02-2017;06 - 07;0;0
01-02-2017;07 - 08;0;0
01-02-2017;08 - 09;0;0
01-02-2017;09 - 10;0;0
01-02-2017;10 - 11;0;0
01-02-2017;11 - 12;0;182,8
01-02-2017;12 - 13;0;191,9
01-02-2017;13 - 14;0;87,1
01-02-2017;14 - 15;0;0
01-02-2017;15 - 16;0;0
01-02-2017;16 - 17;0;0
01-02-2017;17 - 18;0;0
01-02-2017;18 - 19;0;0
01-02-2017;19 - 20;0;87,1
01-02-2017;20 - 21;0;118,4
01-02-2017;21 - 22;0;0
01-02-2017;22 - 23;0;0
01-02-2017;23 - 00;0;0
02-02-2017;00 - 01;0;0
02-02-2017;01 - 02;0;0
02-02-2017;02 - 03;0;191,5
02-02-2017;03 - 04;0;237,4
02-02-2017;04 - 05;0;283,8
02-02-2017;05 - 06;0;0
02-02-2017;06 - 07;0;33,7
02-02-2017;07 - 08;0;0
02-02-2017;08 - 09;0;0
02-02-2017;09 - 10;0;0
02-02-2017;10 - 11;0;0
02-02-2017;11 - 12;0;0
02-02-2017;12 - 13;0;0
02-02-2017;13 - 14;0;0
02-02-2017;14 - 15;0;0
02-02-2017;15 - 16;0;0
02-02-2017;16 - 17;0;0
02-02-2017;17 - 18;0;0
02-02-2017;18 - 19;0;0
02-02-2017;19 - 20;0;0
02-02-2017;20 - 21;0;373
02-02-2017;21 - 22;0;397,8
02-02-2017;22 - 23;0;665,5
02-02-2017;23 - 00;0;279,6
03-02-2017;00 - 01;0;375,3
03-02-2017;01 - 02;0;0
03-02-2017;02 - 03;0;0
03-02-2017;03 - 04;0;0
03-02-2017;04 - 05;0;0
03-02-2017;05 - 06;0;0
03-02-2017;06 - 07;0;0
